date,open,high,low,close,adj_close,volume,accum_dist_indicator,macd,signal_macd,rsi
1993-01-29,43.96875,43.96875,43.75,43.9375,25.33401870727539,1003200,716571.4285714286,0.0,0.0,
1993-02-01,43.96875,44.25,43.96875,44.25,25.514219284057617,480500,1197071.4285714286,0.014374974786047545,0.002874994957209509,
1993-02-02,44.21875,44.375,44.125,44.34375,25.568265914916992,201300,1348046.4285714286,0.02978501419083912,0.008256998803935432,
1993-02-03,44.40625,44.84375,44.375,44.8125,25.83854103088379,529400,1806859.7619047621,0.06307938463706364,0.019221475970561074,
1993-02-04,44.96875,45.09375,44.46875,45.0,25.946645736694336,531500,2178909.761904762,0.09706960143723009,0.03479110106389488,
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.928638458251957,492100,2402591.5800865805,0.12115742883868208,0.05206436661885232,
1993-02-08,44.96875,45.125,44.90625,44.96875,25.928638458251957,596100,2147120.151515152,0.1386489468445049,0.06938128266398284,
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.748458862304688,122100,2116595.151515152,0.1363997815388096,0.08278498243894819,
1993-02-10,44.65625,44.75,44.53125,44.71875,25.78448486328125,379600,2387738.008658009,0.135957070547704,0.09341940006069936,
1993-02-11,44.78125,45.125,44.78125,44.9375,25.910594940185547,19500,2385965.281385282,0.14412091199663735,0.10355970244788695,
1993-02-12,44.875,44.875,44.59375,44.59375,25.7124137878418,42500,2343465.281385282,0.13306535782240658,0.10946083352279087,
1993-02-16,44.46875,44.46875,43.40625,43.46875,25.063756942749023,374800,2012759.3990323409,0.07114247892839032,0.10179716260391078,
1993-02-17,43.46875,43.53125,43.28125,43.4375,25.04574012756348,210900,2065484.3990323409,0.020379423552991938,0.08551361479372702,
1993-02-18,43.9375,43.9375,42.8125,43.40625,25.02772331237793,378100,2086489.9545878964,-0.021061683990144076,0.06419855503695279,
1993-02-19,43.40625,43.5625,43.34375,43.5625,25.117807388305664,34900,2121389.9545878964,-0.0461035749087344,0.04213812904781535,36.18309288125505
1993-02-22,43.6875,43.78125,43.5625,43.71875,25.2078914642334,513600,2341504.2403021823,-0.058011699059733246,0.02210816342630563,40.68632504044822
1993-02-23,43.84375,43.875,43.46875,43.6875,25.18987464904785,373700,2370250.3941483363,-0.06811756279330083,0.004063018182384338,40.07720803724155
1993-02-24,43.71875,44.25,43.71875,44.25,25.514219284057617,26300,2396550.3941483363,-0.04938534768015046,-0.006626654990122622,53.55706525393344
1993-02-25,44.21875,44.375,44.125,44.34375,25.568265914916992,44500,2429925.3941483363,-0.029834902634853222,-0.011268304519068743,55.35913838436013
1993-02-26,44.4375,44.4375,44.1875,44.40625,25.604291915893555,66200,2479575.3941483363,-0.01130373447148969,-0.011275390509552933,56.56886178295667
1993-03-01,44.5625,44.5625,44.21875,44.28125,25.53223419189453,66500,2437257.2123301546,-0.0024043899961689874,-0.009501190406876144,53.44895309803942
1993-03-02,44.3125,44.9375,44.25,44.9375,25.910594940185547,182400,2619657.2123301546,0.03477805514014776,-0.0006453412974713642,64.51552374338054
